player_id,player_name,player_fullname,RATING_3_0,T_RATING,CT_RATING,ROUND_SWING,DPR,KAST,MULTI_KILL,ADR,KPR,Total_kills,Headshot_pct,Total_deaths,KD_Ratio,Damage_per_Round,Grenade_dmg_per_Round,Maps_played,Rounds_played,Kills_per_round,Assists_per_round,Deaths_per_round,Saved_by_teammate_per_round,Saved_teammates_per_round,Impact_rating,total_kills_weapon,rifle_kills,rifle_pct,sniper_kills,sniper_pct,pistol_kills,pistol_pct,smg_kills,smg_pct,top_weapon,top_weapon_pct,ak47_kills,m4a1_kills,m4a1s_kills,awp_kills,ssg08_kills,deagle_kills,glock_kills,usp_kills
20994,FL4MUS,Timur Marev,1.12,1.15,1.08,+0.69%,0.68,70.3%,18.6%,78.2,0.75,762,62.9%,689,1.11,78.2,4.1,49,1019,0.75,0.18,0.68,0.10,0.11,1.19,762,573,75.2,3,0.4,127,16.7,50,6.6,ak47,46.2,352,93,96,3,0,28,38,37
12018,TeSeS,René Madsen,1.04,0.99,1.09,+0.15%,0.63,73.0%,15.0%,69.3,0.62,633,55.5%,643,0.98,69.3,3.7,45,1016,0.62,0.19,0.63,0.11,0.10,0.91,684,518,75.7,5,0.7,129,18.9,27,3.9,ak47,40.4,276,70,122,5,0,24,32,32
20584,dem0n,Dmytro Myroshnychenko,1.07,1.09,1.04,+0.33%,0.64,72.0%,16.7%,70.2,0.67,788,67.8%,753,1.05,70.2,3.5,56,1184,0.67,0.17,0.64,0.10,0.12,0.96,788,609,77.3,1,0.1,141,17.9,27,3.4,ak47,42.1,332,110,116,1,0,31,43,41
13915,YEKINDAR,Mareks Gaļinskis,1.06,1.08,1.03,-0.17%,0.68,71.9%,17.1%,78.1,0.68,824,60.3%,824,1.00,78.1,7.0,56,1208,0.68,0.23,0.68,0.09,0.09,1.16,824,604,73.3,11,1.3,133,16.1,61,7.4,ak47,40.2,331,144,94,11,0,15,34,39
22965,saadzin,Guilherme Pacheco,1.09,1.08,1.10,+1.28%,0.53,75.5%,15.4%,69.5,0.68,1082,34.8%,849,1.27,69.5,3.0,76,1589,0.68,0.11,0.53,0.09,0.09,0.95,1138,311,27.3,607,53.3,194,17.0,10,0.9,awp,52.0,157,20,73,592,15,10,50,77
20394,luchov,Luciano Herrera,1.21,1.18,1.25,+1.88%,0.65,72.5%,19.2%,84.4,0.76,1388,63.0%,1186,1.17,84.4,5.7,88,1821,0.76,0.22,0.65,0.10,0.13,1.32,1388,1085,78.2,9,0.6,208,15.0,79,5.7,ak47,40.0,555,122,326,9,0,13,59,61
18462,mezii,William Merriman,1.05,1.03,1.06,+0.08%,0.60,76.1%,14.8%,67.8,0.62,764,53.1%,734,1.04,67.8,4.9,56,1228,0.62,0.20,0.60,0.11,0.12,0.86,764,572,74.9,5,0.7,137,17.9,38,5.0,ak47,38.5,294,103,106,0,5,26,45,22
18850,Jimpphat,Jimi Salo,1.03,0.95,1.10,+0.12%,0.61,74.6%,15.0%,70.4,0.63,418,51.4%,402,1.04,70.4,3.0,32,662,0.63,0.21,0.61,0.11,0.11,0.96,418,324,77.5,3,0.7,78,18.7,9,2.2,ak47,34.9,146,52,92,3,0,4,16,33
8574,woxic,Özgür Eker,1.06,0.97,1.15,+0.74%,0.60,71.7%,16.9%,71.8,0.69,958,34.6%,825,1.16,71.8,2.3,63,1381,0.69,0.12,0.60,0.09,0.10,1.06,958,202,21.1,558,58.2,141,14.7,46,4.8,awp,53.5,124,3,48,513,45,4,28,4
18506,S1ren,Pavel Ogloblin,1.03,1.05,1.01,+0.08%,0.64,74.7%,13.5%,69.9,0.64,996,56.4%,1005,0.99,69.9,3.9,75,1568,0.64,0.20,0.64,0.11,0.12,0.89,996,772,77.5,0,0.0,182,18.3,36,3.6,ak47,40.8,406,14,263,0,0,18,51,38
